Chick-Fil-A Sign,614515.88,582529.02,97.29,Food sign
Stop Sign,614382.39,582127.08,84.06,Roadway sign
Christiana Care Logo,614935.76,583243.52,142.35,Building sign
Do Not Enter Sign,613421.216,580508.29,88.34,Roadway sign
Doorway,614518.81,581055.04,83.91,Roadside feature
Dunkin Donuts Sign,614277.56,582163.32,90.69,Food sign
Dunkin Donuts,614125.05,582229.17,91.62,Restaurant
Bicycle Sign,614250.444,582042.42,83.55,Roadway sign
McDonald's Sign,614107.55,581369.1,107.06,Food sign
McDonald's,614087.126,581339.88,82.6,Restaurant
Crosswalk,613978.63,581593.64,75.23,Road feature
Yield Sign,613983.47,581641.15,84,Road sign
No Turn Sign,613728.903,581688.98,86.68,Road sign
Fence Gate,613661.296,581783.27,84.52,Roadside feature
Electric Box,615118.06,583415.41,74.55,Utility feature
