1185,1295837.927,469850.7971,178.0865149,HDLS Sphere
1187,1295800.609,469843.6609,177.3565149,HDLS Sphere
1188,1295893.413,469850.3036,179.8265149,HDLS Sphere
1189,1295892.906,469812.3258,179.4765149,HDLS Sphere
1190,1295852.69,469813.5254,178.2565149,HDLS Sphere
Stop Sign,1295798.115,469851.005,180.831,Stop Sign
Stop Sign,1295778.509,469830.111,178.335,Stop Sign
Manhole,1295814.984,469850.883,171.829,Manhole
UP 4R758,1295832.971,469864.412,181.321,UP 4R758
Pipe Hanger,1295885.719,469817.327,170.892,Pipe Hanger
Welcome to Rock Creek Park,1295807.201,469789.964,178.736,
Stop Bar,1295788.291,469801.208,170.403,
Manhole,1295797.316,469821.317,170.877,
Stop Bar,1295854.817,469834.013,172.482,
Luminaire,1295903.331,469844.831,199.347,
